,Date,sentiment_value,yesterday_sentiment,Open,High,Low,Close,Volume,avgprice,yvalue
110,6/12/2015,5.322348485,6.010064935,32.047501,32.0825,31.7775,31.7925,147544800,31.93,-0.4024985
111,6/15/2015,4.470959596,5.322348485,31.525,31.809999,31.4275,31.73,175955600,31.6187495,-0.3112505
112,6/16/2015,6.156060606,4.470959596,31.7575,31.9625,31.592501,31.9,125976400,31.7775005,0.158751
113,6/17/2015,5.350586219,6.156060606,31.93,31.969999,31.684999,31.825001,131672400,31.827499,0.0499985
114,6/18/2015,3.322853535,5.350586219,31.807501,32.077499,31.805,31.969999,141628800,31.9412495,0.1137505
115,6/19/2015,8.124131494,3.322853535,31.9275,31.955,31.6,31.65,218867600,31.7775,-0.1637495
116,6/22/2015,7.607121212,8.124131494,31.872499,32.014999,31.77,31.9025,136157200,31.8924995,0.1149995
117,6/23/2015,4.366179654,7.607121212,31.870001,31.9025,31.719999,31.7575,121075600,31.8112495,-0.08125
118,6/24/2015,3.601705147,4.366179654,31.8025,32.450001,31.780001,32.0275,221123600,32.115001,0.3037515
119,6/25/2015,4.115084416,3.601705147,32.215,32.299999,31.875,31.875,127752400,32.0874995,-0.0275015
120,6/26/2015,1.137417027,4.115084416,31.9175,31.997499,31.627501,31.6875,176267200,31.8125,-0.2749995
121,6/29/2015,4.716035354,1.137417027,31.365,31.6175,31.120001,31.1325,196645600,31.3687505,-0.4437495
122,6/30/2015,6.874747475,4.716035354,31.3925,31.530001,31.215,31.3575,177482800,31.3725005,0.00375
123,7/1/2015,2.614339827,6.874747475,31.725,31.735001,31.497499,31.65,120955200,31.61625,0.2437495
124,7/2/2015,5.888401876,2.614339827,31.6075,31.672501,31.442499,31.610001,108844000,31.5575,-0.05875
125,7/6/2015,4.937049062,5.888401876,31.235001,31.557501,31.2125,31.5,112241600,31.3850005,-0.1724995
126,7/8/2015,1.506445406,4.937049062,31.120001,31.16,30.635,30.6425,243046400,30.8975,-0.4875005
127,7/9/2015,1.594022367,1.506445406,30.9625,31.014999,29.805,30.0175,314380000,30.4099995,-0.4875005
128,7/10/2015,4.385723304,1.594022367,30.485001,30.9625,30.3025,30.82,245418000,30.6325,0.2225005
129,7/13/2015,6.616077441,4.385723304,31.2575,31.440001,31.08,31.415001,165762000,31.2600005,0.6275005
130,7/14/2015,5.430844156,6.616077441,31.51,31.592501,31.26,31.4025,127072400,31.4262505,0.16625
131,7/15/2015,5.72761544,5.430844156,31.43,31.7875,31.395,31.705,134596800,31.59125,0.1649995
132,7/16/2015,5.051551227,5.72761544,31.934999,32.142502,31.8375,32.127499,144889600,31.990001,0.398751
133,7/17/2015,8.313149351,5.051551227,32.27,32.404999,32.077499,32.404999,184658800,32.241249,0.251248
134,7/20/2015,8.039974747,8.313149351,32.7425,33.2425,32.674999,33.017502,235600800,32.9587495,0.7175005
135,7/21/2015,4.754213264,8.039974747,33.212502,33.23,32.580002,32.6875,307025600,32.905001,-0.0537485
136,7/22/2015,3.718148148,4.754213264,30.497499,31.375,30.497499,31.305,461802400,30.9362495,-1.9687515
